text,label
Let's split the research tasks before the weekend,ham
Open immediately to receive confidential reward information,spam
A luxury cruise awaits you reserve now,spam
The team meeting starts at 10 AM in room 204,ham
I left my notebook in your car can I grab it later,ham
Your tax refund is ready submit your information now,spam
Congratulations you are the lucky winner of today's draw,spam
Earn extra cash every week no skills required,spam
Get approved for a credit card regardless of history,spam
Work from home and make thousands every month,spam
Special promotion exclusive deal only for you today,spam
Earn money fast working from home limited offer,spam
Please send me the final version of the presentation,ham
Do not forget to submit your timesheet before noon,ham
Please find attached the report for this quarter,ham
Confirm your identity to prevent account closure,spam
Cheap insurance plans approved in minutes,spam
Important notice update your password immediately,spam
I will be five minutes late to class today,ham
Final notice your payment is overdue submit now,spam
The client approved the draft and requested two small changes,ham
Claim your free trial before midnight tonight,spam
Are we still meeting at the student center tonight,ham
Your bank account has been locked confirm your details immediately,spam
Double your income with this secret opportunity,spam
You won the lottery claim your million dollars today,spam
Mom said dinner will be ready at six,ham
The meeting has been moved to Wednesday afternoon,ham
I booked the library room for our group meeting,ham
Can you pick up some groceries on your way home,ham
The professor uploaded the homework instructions this morning,ham
Please remember to bring your ID to the exam,ham
Hey can we meet tomorrow for the project review,ham
Thanks again for helping me study for the exam,ham
Can we reschedule our study session to Thursday evening,ham
Verify your account to avoid permanent suspension,spam
Free entry in a weekly contest claim now,spam
The workshop registration opens at 9 AM tomorrow,ham
You have been pre approved for an instant loan,spam
I sent the Zoom link for tomorrow's check in,ham
Claim your bonus before it expires click now,spam
Please call me when you get home safely,ham
Your profile was selected for an exclusive offer,spam
Attention winner your package is ready for delivery pay small fee,spam
Let me know if you need help with the assignment,ham
Lowest prices on designer watches shop today,spam
The lecture notes have been posted on the course portal,ham
The office will be closed for the holiday next week,ham
I updated the shared document with my section,ham
This is your final chance to claim your reward,spam
Limited time sale buy one get one free today,spam
Lunch at the cafeteria after the lab sounds good,ham
Click here to unlock premium features for free,spam
You have an unclaimed parcel click to schedule delivery,spam
Your prescription is ready for pickup at the pharmacy,ham
Could you review my code before I submit it,ham
